"id","street_name","limits","northbound_count","southbound_count","eastbound_count","westbound_count","total_count","file_no","date_count"
"04AV011807","04 AV","ROBINSON AV - UNIVERSITY AV","","9520.0","","","9520.0","0118-07","2007-03-07 00:00:00"
"04AV010410","04 AV","ROBINSON AV - UNIVERSITY AV","","10565.0","","","10565.0","0104-10","2010-03-10 00:00:00"
"04AV007613","04 AV","ROBINSON AV - UNIVERSITY AV","","9767.0","","","9767.0","0076-13","2013-02-21 00:00:00"
"04AV113614","04 AV","ROBINSON AV - UNIVERSITY AV","","8296.0","","","8296.0","1136-14","2014-08-05 00:00:00"
"04AV003221","04 AV","ROBINSON AV - UNIVERSITY AV","","5479.0","","","5479.0","0032-21","2021-03-04 00:00:00"
"04AV016206","04 AV","UNIVERSITY AV - WASHINGTON ST","","10410.0","","","10410.0","0162-06","2006-03-22 00:00:00"
"04AV016909","04 AV","UNIVERSITY AV - WASHINGTON ST","","8580.0","","","8580.0","0169-09","2009-03-24 00:00:00"
"04AV019112","04 AV","UNIVERSITY AV - WASHINGTON ST","","8297.0","","","8297.0","0191-12","2012-03-27 00:00:00"
"04AV029515","04 AV","UNIVERSITY AV - WASHINGTON ST","","5871.0","","","5871.0","0295-15","2015-05-14 00:00:00"
"04AV004516","04 AV","UNIVERSITY AV - WASHINGTON ST","","7422.0","","","7422.0","0045-16","2016-03-10 00:00:00"
"04AV009220","04 AV","UNIVERSITY AV - WASHINGTON ST","","7556.0","","","7556.0","0092-20","2020-03-11 00:00:00"
"04AV008605","04 AV","WASHINGTON ST - 05 AV","2250","11720.0","","","13970.0","0086-05","2005-03-29 00:00:00"
"04AV013208","04 AV","WASHINGTON ST - 05 AV","1540","10850.0","","","12390.0","0132-08","2008-03-20 00:00:00"
"04AV032311","04 AV","WASHINGTON ST - 05 AV","7165","10585.0","","","17750.0","0323-11","2011-05-26 00:00:00"
"04AV003014","04 AV","WASHINGTON ST - 05 AV","2127","8416.0","","","10543.0","0030-14","2014-02-11 00:00:00"
"04AV005218","04 AV","WASHINGTON ST - 05 AV","2784","8889.0","","","11673.0","0052-18","2018-03-13 00:00:00"
"05AV020106","05 AV","A ST - ASH ST","13280","","","","13280.0","0201-06","2006-04-19 00:00:00"
"05AV027709","05 AV","A ST - ASH ST","11370","","","","11370.0","0277-09","2009-04-21 00:00:00"
"05AV029312","05 AV","A ST - ASH ST","12115","","","","12115.0","0293-12","2012-04-24 00:00:00"
"05AV038415","05 AV","A ST - ASH ST","11270","","","","11270.0","0384-15","2015-07-15 00:00:00"
"05AV038415","05 AV","A ST - ASH ST","11270","","","","11270.0","0384-15","2015-07-15 00:00:00"
"05AV008516","05 AV","A ST - ASH ST","13512","","","","13512.0","0085-16","2016-04-06 00:00:00"
"05AV047506","05 AV","B ST - A ST","10000","","","","10000.0","0475-06","2006-10-09 00:00:00"
"05AV063909","05 AV","B ST - A ST","12635","","","","12635.0","0639-09","2009-10-21 00:00:00"
"05AV042616","05 AV","B ST - A ST","11670","","","","11670.0","0426-16","2016-10-25 00:00:00"
"05AV018707","05 AV","BEECH ST - CEDAR ST","11760","","","","11760.0","0187-07","2007-03-13 00:00:00"
"05AV015710","05 AV","BEECH ST - CEDAR ST","11510","","","","11510.0","0157-10","2010-03-17 00:00:00"
"05AV018813","05 AV","BEECH ST - CEDAR ST","10870","","","","10870.0","0188-13","2013-03-12 00:00:00"
"05AV008221","05 AV","BEECH ST - CEDAR ST","5089","","","","5089.0","0082-21","2021-03-10 00:00:00"
"05AV059807","05 AV","BROADWAY  - C ST","7140","","","","7140.0","0598-07","2008-01-08 00:00:00"
"05AV017705","05 AV","CEDAR ST - SD 005 ","23430","","","","23430.0","0177-05","2005-03-29 00:00:00"
"05AV006118","05 AV","CEDAR ST - SD 005 ","22129","","","","22129.0","0061-18","2018-03-13 00:00:00"
"05AV047406","05 AV","F ST - E ST","12250","","","","12250.0","0474-06","2006-10-09 00:00:00"
"05AV063809","05 AV","F ST - E ST","11960","","","","11960.0","0638-09","2009-10-06 00:00:00"
